Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,60.34730000,-3.06527900
0.00100000,60.34730000,-3.06527900
0.00200000,60.34730000,-3.06527900
0.00300000,58.55281000,-2.97677500
0.00400000,60.34730000,-2.97677500
0.00500000,60.34730000,-3.06527900
0.00600000,58.55281000,-2.97677500
0.00700000,58.55281000,-2.97677500
0.00800000,60.34730000,-2.97677500
0.00900000,60.34730000,-3.06527900
0.01000000,60.34730000,-3.06527900
0.01100000,60.34730000,-3.06527900
0.01200000,60.34730000,-3.06527900
0.01300000,60.34730000,-3.06527900
0.01400000,60.34730000,-2.97677500
0.01500000,60.34730000,-3.06527900
0.01600000,60.34730000,-3.06527900
0.01700000,60.34730000,-2.97677500
0.01800000,60.34730000,-3.06527900
0.01900000,58.55281000,-2.97677500
0.02000000,60.34730000,-2.97677500
0.02100000,60.34730000,-2.97677500
0.02200000,58.55281000,-3.06527900
0.02300000,58.55281000,-2.97677500
0.02400000,60.34730000,-3.06527900
0.02500000,58.55281000,-3.06527900
0.02600000,60.34730000,-3.06527900
0.02700000,58.55281000,-3.06527900
0.02800000,60.34730000,-2.97677500
0.02900000,60.34730000,-3.06527900
0.03000000,60.34730000,-2.97677500
0.03100000,58.55281000,-2.97677500
0.03200000,58.55281000,-3.06527900
0.03300000,60.34730000,-3.06527900
0.03400000,60.34730000,-3.06527900
0.03500000,60.34730000,-2.97677500
0.03600000,60.34730000,-3.06527900
0.03700000,60.34730000,-3.06527900
0.03800000,60.34730000,-3.06527900
0.03900000,60.34730000,-2.97677500
0.04000000,60.34730000,-3.06527900
0.04100000,60.34730000,-3.06527900
0.04200000,60.34730000,-2.97677500
0.04300000,58.55281000,-3.06527900
0.04400000,58.55281000,-3.06527900
0.04500000,58.55281000,-2.97677500
0.04600000,58.55281000,-3.06527900
0.04700000,58.55281000,-3.06527900
0.04800000,60.34730000,-3.06527900
0.04900000,58.55281000,-3.06527900
0.05000000,60.34730000,-2.97677500
0.05100000,60.34730000,-3.06527900
0.05200000,60.34730000,-3.06527900
0.05300000,60.34730000,-2.97677500
0.05400000,58.55281000,-2.97677500
0.05500000,60.34730000,-2.97677500
0.05600000,60.34730000,-3.06527900
0.05700000,60.34730000,-3.06527900
0.05800000,60.34730000,-2.97677500
0.05900000,60.34730000,-3.06527900
0.06000000,60.34730000,-3.06527900
0.06100000,60.34730000,-3.06527900
0.06200000,60.34730000,-3.06527900
0.06300000,58.55281000,-3.06527900
0.06400000,60.34730000,-3.06527900
0.06500000,58.55281000,-2.97677500
0.06600000,58.55281000,-2.97677500
0.06700000,60.34730000,-3.06527900
0.06800000,58.55281000,-3.06527900
0.06900000,60.34730000,-3.06527900
0.07000000,58.55281000,-3.06527900
