Time,Channel A
(s),(mV)

0.00000000,0.00152593
0.00100000,0.45319980
0.00200000,-0.45167390
0.00300000,1.81127400
0.00400000,0.45319980
0.00500000,1.35807400
0.00600000,0.90487380
0.00700000,1.81127400
0.00800000,-1.35807400
0.00900000,-0.90487380
0.01000000,3.17087300
0.01100000,-1.35807400
0.01200000,-0.45167390
0.01300000,0.45319980
0.01400000,1.35807400
0.01500000,0.00152593
0.01600000,2.26447300
0.01700000,0.90487380
0.01800000,-0.45167390
0.01900000,-0.45167390
0.02000000,1.81127400
0.02100000,0.00152593
0.02200000,-1.81127400
0.02300000,-0.45167390
0.02400000,0.90487380
0.02500000,-0.45167390
0.02600000,0.00152593
0.02700000,0.45319980
0.02800000,1.81127400
0.02900000,0.45319980
0.03000000,-1.35807400
0.03100000,0.00152593
0.03200000,0.45319980
0.03300000,-0.90487380
0.03400000,1.81127400
0.03500000,1.35807400
0.03600000,0.45319980
0.03700000,0.45319980
0.03800000,1.81127400
0.03900000,-0.90487380
0.04000000,0.45319980
0.04100000,0.90487380
0.04200000,-0.90487380
0.04300000,0.00152593
0.04400000,0.90487380
0.04500000,0.45319980
0.04600000,-1.35807400
0.04700000,1.35807400
0.04800000,-1.35807400
0.04900000,0.00152593
0.05000000,-1.81127400
0.05100000,0.90487380
0.05200000,1.35807400
0.05300000,-0.45167390
0.05400000,-1.35807400
0.05500000,0.00152593
0.05600000,-0.45167390
0.05700000,-0.90487380
0.05800000,0.45319980
0.05900000,0.90487380
0.06000000,-2.71767300
0.06100000,1.35807400
0.06200000,-0.45167390
0.06300000,0.45319980
0.06400000,0.00152593
0.06500000,0.45319980
0.06600000,0.00152593
0.06700000,-0.45167390
0.06800000,1.81127400
0.06900000,-0.45167390
0.07000000,-0.90487380
0.07100000,-0.90487380
0.07200000,0.45319980
0.07300000,0.90487380
0.07400000,0.45319980
0.07500000,-0.90487380
0.07600000,0.00152593
0.07700000,0.00152593
0.07800000,-2.71767300
0.07900000,0.90487380
0.08000000,0.45319980
0.08100000,1.35807400
0.08200000,-0.45167390
0.08300000,0.90487380
0.08400000,0.90487380
0.08500000,0.00152593
0.08600000,-1.81127400
0.08700000,0.00152593
0.08800000,1.81127400
0.08900000,-2.71767300
0.09000000,-0.45167390
0.09100000,0.90487380
0.09200000,0.45319980
0.09300000,0.00152593
0.09400000,-0.90487380
0.09500000,-0.90487380
0.09600000,1.35807400
0.09700000,-0.45167390
0.09800000,-0.90487380
0.09900000,0.00152593
0.10000000,1.81127400
0.10100000,0.45319980
0.10200000,-0.45167390
0.10300000,0.45319980
0.10400000,1.35807400
0.10500000,-1.35807400
0.10600001,-0.90487380
0.10700001,0.00152593
0.10800001,1.81127400
0.10900001,-1.35807400
0.11000001,1.81127400
0.11100001,-0.45167390
0.11200001,1.81127400
0.11300001,1.81127400
0.11400001,-3.62407300
0.11500001,2.26447300
0.11600001,-0.90487380
0.11700001,1.81127400
0.11800001,0.90487380
0.11900001,0.45319980
0.12000001,-0.45167390
0.12100001,0.45319980
0.12200001,0.90487380
0.12300001,0.90487380
0.12400001,-0.45167390
0.12500001,-1.81127400
0.12600001,-0.45167390
0.12700001,0.90487380
0.12800001,-2.71767300
0.12900001,-0.45167390
0.13000001,0.90487380
0.13100001,1.35807400
0.13200001,0.45319980
0.13300001,1.81127400
0.13400001,0.90487380
0.13500001,1.81127400
0.13600001,0.45319980
0.13700001,-0.45167390
0.13800001,0.45319980
0.13900001,1.35807400
0.14000001,-0.90487380
0.14100001,-0.45167390
0.14200001,2.71767300
0.14300001,-0.45167390
0.14400001,-0.90487380
0.14500001,-0.45167390
0.14600001,0.90487380
0.14700001,0.45319980
0.14800001,0.00152593
0.14900001,2.26447300
0.15000001,1.35807400
0.15100001,0.00152593
0.15200001,2.26447300
0.15300001,0.00152593
0.15400001,-2.71767300
0.15500001,1.35807400
0.15600001,0.00152593
0.15700001,1.35807400
0.15800001,0.45319980
0.15900001,2.26447300
0.16000001,-0.90487380
0.16100001,-0.45167390
0.16200001,-0.45167390
0.16300001,0.45319980
0.16400001,0.90487380
0.16500001,0.45319980
0.16600001,1.81127400
0.16700001,0.90487380
0.16800001,-0.45167390
